X,Y,Class,NEA
331982.821690044,-224761.51899738,"7",
299231.220424509,-217164.967037179,"7",
304553.355630158,-212479.668522804,"7",
309238.654144533,-213434.923559715,"7",
314105.905999273,-217255.943707361,"7",
312877.720951815,-223351.380609558,"7",
307510.097411075,-223396.868944649,"7",
282082.118095193,-229128.399166118,"7",
286039.603248112,-234086.627691039,"7",
296638.38532432,-235860.672759589,"7",
300413.917136875,-229173.887501209,"7",
295501.176947045,-226035.192379928,"7",
289724.158390485,-226444.587395748,"7",
306554.842374163,-231311.839250487,"7",
313741.999318545,-228900.957490663,"7",
312695.767611451,-234723.464382314,"7",
319018.646189103,-233404.302664674,"7",
307828.515756712,-256466.888555822,"7",
307237.167400528,-252918.798418722,"7",
311604.047569266,-259605.583677102,"7",
313878.464323817,-250462.428323807,"7",
322248.317980565,-253373.681769632,"7",
318700.227843466,-249143.266606167,"7",
320747.202922562,-240591.459609055,"7",
333301.983407684,-242774.899693424,"7",
331573.426674225,-247915.08155871,"7",
206867.156022189,-75969.1749146481,"3",
182144.245900219,-158848.921450489,"3",
183827.314298587,-86295.02698031,"4",
235593.039632169,-109357.612871458,"4",
201658.741654267,-126961.598551683,"4",
167178.583655273,-79085.1258683831,"5",
196177.397275799,-63232.4410891621,"5",
229019.975211517,-59593.3742818804,"5",
240846.942335182,-88978.8387506803,"5",
210733.664504926,-100532.8758638,"5",
191901.493777243,-138470.147329712,"5",
197996.93067944,-162306.034917407,"5",
191537.587096515,-178044.998858901,"5",
151098.457200597,-174223.978711255,"5",
143410.928570214,-151343.346160471,"5",
159695.7525328,-153981.66959575,"5",
179710.619972849,-68827.5063053577,"6",
189627.077022692,-69350.6221589044,"6",
207708.690221373,-60207.4668056091,"6",
219171.75066431,-54566.9132543224,"6",
236548.294669081,-74035.9206732796,"6",
222173.980780318,-72125.4105994567,"6",
194608.049715159,-82041.8676492994,"6",
182963.035931857,-95961.298187152,"6",
214622.917155208,-85771.9111267632,"6",
197155.396480256,-100055.248345344,"6",
219171.75066431,-101419.898398075,"6",
223083.747482138,-120615.975806486,"6",
